title,cast,genres,combined
bottle rocket,Owen Wilson Luke Wilson Robert Musgrave Elissa Sommerfield Isiah Ellis,Comedy Crime,Comedy Crime Owen Wilson Luke Wilson Robert Musgrave Elissa Sommerfield Isiah Ellis
crooklyn,Alfre Woodard Delroy Lindo David Patrick Kelly Zelda Harris Carlton Williams,Comedy Drama,Comedy Drama Alfre Woodard Delroy Lindo David Patrick Kelly Zelda Harris Carlton Williams
backbeat,Stephen Dorff Ian Hart Gary Bakewell Chris O'Neill Paul Duckworth,Drama Music,Drama Music Stephen Dorff Ian Hart Gary Bakewell Chris O'Neill Paul Duckworth
crumb,Robert Crumb Aline Kominsky Charles Crumb Maxon Crumb Robert Hughes,Documentary,Documentary Robert Crumb Aline Kominsky Charles Crumb Maxon Crumb Robert Hughes
rapa nui,Jason Scott Lee Esai Morales Sandrine Holt Eru Potaka-Dewes Emilio Tuki Hito,Adventure,Adventure Jason Scott Lee Esai Morales Sandrine Holt Eru Potaka-Dewes Emilio Tuki Hito
hercules and the amazon women,Kevin Sorbo Anthony Quinn Roma Downey Michael Hurst Lucy Lawless,Action Adventure Fantasy TV Movie,Action Adventure Fantasy TV Movie Kevin Sorbo Anthony Quinn Roma Downey Michael Hurst Lucy Lawless
guyver: dark hero,David Hayter Kathy Christopherson Bruno Giannotta Stuart Weiss Billi Lee,Science Fiction,Science Fiction David Hayter Kathy Christopherson Bruno Giannotta Stuart Weiss Billi Lee
macross plus,Takumi Yamazaki UnshÅ Ishizuka Rica Fukami Mako HyÅdÅ Kenji Utsumi,Science Fiction Action Adventure Animation,Science Fiction Action Adventure Animation Takumi Yamazaki UnshÅ Ishizuka Rica Fukami Mako HyÅdÅ Kenji Utsumi
pumpkinhead ii: blood wings,Andrew Robinson Ami Dolenz Soleil Moon Frye J. Trevor Edmond Hill Harper,Horror,Horror Andrew Robinson Ami Dolenz Soleil Moon Frye J. Trevor Edmond Hill Harper
twin sitters,Peter Paul David Paul Christian Cousins Joseph Cousins Rena Sofer,Comedy Family Thriller,Comedy Family Thriller Peter Paul David Paul Christian Cousins Joseph Cousins Rena Sofer
men of war,Dolph Lundgren Charlotte Lewis BD Wong Tim Guinee Catherine Bell,Action Thriller,Action Thriller Dolph Lundgren Charlotte Lewis BD Wong Tim Guinee Catherine Bell
il silenzio dei prosciutti,Ezio Greggio Dom DeLuise Billy Zane Joanna Pacula Charlene Tilton,Thriller Comedy,Thriller Comedy Ezio Greggio Dom DeLuise Billy Zane Joanna Pacula Charlene Tilton
from beijing with love,Stephen Chow Anita Yuen Law Kar-Ying Pauline Chan Bo-Lin Joe Cheng Cho,Action Comedy,Action Comedy Stephen Chow Anita Yuen Law Kar-Ying Pauline Chan Bo-Lin Joe Cheng Cho
il postino,Philippe Noiret Massimo Troisi Maria Grazia Cucinotta Renato Scarpa Linda Moretti,Comedy Drama Romance,Comedy Drama Romance Philippe Noiret Massimo Troisi Maria Grazia Cucinotta Renato Scarpa Linda Moretti
brainscan,Edward Furlong Frank Langella T. Ryder Smith Amy Hargreaves Victor Ertmanis,Fantasy Horror Science Fiction,Fantasy Horror Science Fiction Edward Furlong Frank Langella T. Ryder Smith Amy Hargreaves Victor Ertmanis
pcu,Jeremy Piven Chris Young Megan Ward Jon Favreau David Spade,Comedy,Comedy Jeremy Piven Chris Young Megan Ward Jon Favreau David Spade
hercules in the underworld,Kevin Sorbo Anthony Quinn Tawny Kitaen Marley Shelton Cliff Curtis,Action Adventure Fantasy TV Movie,Action Adventure Fantasy TV Movie Kevin Sorbo Anthony Quinn Tawny Kitaen Marley Shelton Cliff Curtis
the sum of us,Jack Thompson John Polson Deborah Kennedy Joss Moroney Mitch Mathews,Comedy Drama Romance,Comedy Drama Romance Jack Thompson John Polson Deborah Kennedy Joss Moroney Mitch Mathews
