title,cast,genres,combined
edge of tomorrow,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Action Science Fiction,Action Science Fiction Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong
the interview,James Franco Seth Rogen Lizzy Caplan Randall Park Diana Bang,Action Comedy,Action Comedy James Franco Seth Rogen Lizzy Caplan Randall Park Diana Bang
american sniper,Bradley Cooper Sienna Miller Kyle Gallner Cole Konis Ben Reed,War Action,War Action Bradley Cooper Sienna Miller Kyle Gallner Cole Konis Ben Reed
exodus: gods and kings,Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,Adventure Drama Action,Adventure Drama Action Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn
godzilla,Aaron Taylor-Johnson Ken Watanabe Elizabeth Olsen Bryan Cranston Juliette Binoche,Action Science Fiction Thriller,Action Science Fiction Thriller Aaron Taylor-Johnson Ken Watanabe Elizabeth Olsen Bryan Cranston Juliette Binoche
maleficent,Angelina Jolie Elle Fanning Juno Temple Sharlto Copley Isobelle Molloy,Fantasy Adventure Action Family Romance,Fantasy Adventure Action Family Romance Angelina Jolie Elle Fanning Juno Temple Sharlto Copley Isobelle Molloy
the november man,Pierce Brosnan Luke Bracey Olga Kurylenko Bill Smitrovich Amila Terzimehic,Crime Action Thriller,Crime Action Thriller Pierce Brosnan Luke Bracey Olga Kurylenko Bill Smitrovich Amila Terzimehic
ouija,Olivia Cooke Ana Coto Daren Kagasoff Bianca A. Santos Douglas Smith,Horror,Horror Olivia Cooke Ana Coto Daren Kagasoff Bianca A. Santos Douglas Smith
how to train your dragon 2,Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett,Fantasy Action Adventure Animation Comedy,Fantasy Action Adventure Animation Comedy Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett
it follows,Maika Monroe Keir Gilchrist Olivia Luccardi Lili Sepe Bailey Spry,Thriller Horror,Thriller Horror Maika Monroe Keir Gilchrist Olivia Luccardi Lili Sepe Bailey Spry
the expendables 3,Sylvester Stallone Jason Statham Harrison Ford Arnold Schwarzenegger Mel Gibson,Action Adventure Thriller,Action Adventure Thriller Sylvester Stallone Jason Statham Harrison Ford Arnold Schwarzenegger Mel Gibson
the lego movie,Will Arnett Elizabeth Banks Craig Berry Alison Brie David Burrows,Adventure Fantasy Animation Comedy Action,Adventure Fantasy Animation Comedy Action Will Arnett Elizabeth Banks Craig Berry Alison Brie David Burrows
the loft,Karl Urban James Marsden Wentworth Miller Matthias Schoenaerts Eric Stonestreet,Thriller,Thriller Karl Urban James Marsden Wentworth Miller Matthias Schoenaerts Eric Stonestreet
seventh son,Jeff Bridges Julianne Moore Ben Barnes Alicia Vikander Kit Harington,Adventure Fantasy,Adventure Fantasy Jeff Bridges Julianne Moore Ben Barnes Alicia Vikander Kit Harington
the theory of everything,Eddie Redmayne Felicity Jones Harry Lloyd David Thewlis Emily Watson,Drama Romance,Drama Romance Eddie Redmayne Felicity Jones Harry Lloyd David Thewlis Emily Watson
let's be cops,Jake Johnson Damon Wayans Jr. Nina Dobrev Rob Riggle James D'Arcy,Comedy,Comedy Jake Johnson Damon Wayans Jr. Nina Dobrev Rob Riggle James D'Arcy
dracula untold,Luke Evans Sarah Gadon Dominic Cooper Art Parkinson Charles Dance,Horror Action Drama Fantasy War,Horror Action Drama Fantasy War Luke Evans Sarah Gadon Dominic Cooper Art Parkinson Charles Dance
penguins of madagascar,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich,Family Animation Adventure Comedy,Family Animation Adventure Comedy Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich
into the woods,Meryl Streep Emily Blunt James Corden Anna Kendrick Chris Pine,Fantasy Comedy Music,Fantasy Comedy Music Meryl Streep Emily Blunt James Corden Anna Kendrick Chris Pine
300: rise of an empire,Sullivan Stapleton Eva Green Lena Headey Callan Mulvey David Wenham,Action War,Action War Sullivan Stapleton Eva Green Lena Headey Callan Mulvey David Wenham
the giver,Jeff Bridges Meryl Streep Brenton Thwaites Odeya Rush Alexander SkarsgÃ¥rd,Drama Science Fiction,Drama Science Fiction Jeff Bridges Meryl Streep Brenton Thwaites Odeya Rush Alexander SkarsgÃ¥rd
22 jump street,Jonah Hill Channing Tatum Dave Franco Ice Cube Nick Offerman,Crime Comedy Action,Crime Comedy Action Jonah Hill Channing Tatum Dave Franco Ice Cube Nick Offerman
a walk among the tombstones,Liam Neeson Dan Stevens David Harbour Boyd Holbrook Adam David Thompson,Crime Drama Mystery Thriller,Crime Drama Mystery Thriller Liam Neeson Dan Stevens David Harbour Boyd Holbrook Adam David Thompson
paddington,Nicole Kidman Peter Capaldi Ben Whishaw Michael Gambon Imelda Staunton,Comedy,Comedy Nicole Kidman Peter Capaldi Ben Whishaw Michael Gambon Imelda Staunton
cake,Jennifer Aniston Anna Kendrick William H. Macy Adriana Barraza Felicity Huffman,Drama,Drama Jennifer Aniston Anna Kendrick William H. Macy Adriana Barraza Felicity Huffman
chef,Jon Favreau John Leguizamo Bobby Cannavale Emjay Anthony Scarlett Johansson,Comedy,Comedy Jon Favreau John Leguizamo Bobby Cannavale Emjay Anthony Scarlett Johansson
the purge: anarchy,Frank Grillo Carmen Ejogo Zach Gilford Kiele Sanchez ZoÃ« Borde,Horror Thriller,Horror Thriller Frank Grillo Carmen Ejogo Zach Gilford Kiele Sanchez ZoÃ« Borde
left behind,Nicolas Cage Chad Michael Murray Lea Thompson Nicky Whelan Martin Klebba,Thriller Action Science Fiction,Thriller Action Science Fiction Nicolas Cage Chad Michael Murray Lea Thompson Nicky Whelan Martin Klebba
boyhood,Ellar Coltrane Patricia Arquette Ethan Hawke Elijah Smith Lorelei Linklater,Drama,Drama Ellar Coltrane Patricia Arquette Ethan Hawke Elijah Smith Lorelei Linklater
a most violent year,Oscar Isaac Jessica Chastain Albert Brooks Elyes Gabel David Oyelowo,Action Thriller Crime Drama,Action Thriller Crime Drama Oscar Isaac Jessica Chastain Albert Brooks Elyes Gabel David Oyelowo
hercules,Dwayne Johnson Ian McShane John Hurt Rufus Sewell Aksel Hennie,Action Adventure,Action Adventure Dwayne Johnson Ian McShane John Hurt Rufus Sewell Aksel Hennie
noah,Russell Crowe Jennifer Connelly Emma Watson Logan Lerman Anthony Hopkins,Drama Adventure,Drama Adventure Russell Crowe Jennifer Connelly Emma Watson Logan Lerman Anthony Hopkins
the judge,Robert Downey Jr. Robert Duvall Vera Farmiga Vincent D'Onofrio Jeremy Strong,Drama,Drama Robert Downey Jr. Robert Duvall Vera Farmiga Vincent D'Onofrio Jeremy Strong
drive hard,Thomas Jane John Cusack Zoe Ventoura Damien Garvey Christopher Morris,Action Comedy Crime,Action Comedy Crime Thomas Jane John Cusack Zoe Ventoura Damien Garvey Christopher Morris
blended,Drew Barrymore Adam Sandler Wendi McLendon-Covey Bella Thorne Terry Crews,Comedy,Comedy Drew Barrymore Adam Sandler Wendi McLendon-Covey Bella Thorne Terry Crews
neighbors,Seth Rogen Zac Efron Rose Byrne Dave Franco Ike Barinholtz,Comedy,Comedy Seth Rogen Zac Efron Rose Byrne Dave Franco Ike Barinholtz
if i stay,ChloÃ« Grace Moretz Jamie Blackley Liana Liberato Mireille Enos Stacy Keach,Drama,Drama ChloÃ« Grace Moretz Jamie Blackley Liana Liberato Mireille Enos Stacy Keach
step up all in,Ryan Guzman Briana Evigan Stephen Boss Misha Gabriel Izabella Miko,Romance Drama Music,Romance Drama Music Ryan Guzman Briana Evigan Stephen Boss Misha Gabriel Izabella Miko
"love, rosie",Lily Collins Sam Claflin Suki Waterhouse Christian Cooke Tamsin Egerton,Comedy Romance,Comedy Romance Lily Collins Sam Claflin Suki Waterhouse Christian Cooke Tamsin Egerton
the fault in our stars,Shailene Woodley Ansel Elgort Nat Wolff Laura Dern Sam Trammell,Romance Drama,Romance Drama Shailene Woodley Ansel Elgort Nat Wolff Laura Dern Sam Trammell
i origins,Michael Pitt Brit Marling Astrid BergÃ¨s-Frisbey Steven Yeun Dorien Makhloghi,Science Fiction Drama,Science Fiction Drama Michael Pitt Brit Marling Astrid BergÃ¨s-Frisbey Steven Yeun Dorien Makhloghi
ride along,Ice Cube Kevin Hart John Leguizamo Bruce McGill Tika Sumpter,Action Comedy,Action Comedy Ice Cube Kevin Hart John Leguizamo Bruce McGill Tika Sumpter
the captive,Ryan Reynolds Scott Speedman Rosario Dawson Mireille Enos Kevin Durand,Thriller,Thriller Ryan Reynolds Scott Speedman Rosario Dawson Mireille Enos Kevin Durand
inherent vice,Joaquin Phoenix Josh Brolin Owen Wilson Katherine Waterston Reese Witherspoon,Comedy Romance Crime Drama Mystery,Comedy Romance Crime Drama Mystery Joaquin Phoenix Josh Brolin Owen Wilson Katherine Waterston Reese Witherspoon
jack ryan: shadow recruit,Chris Pine Keira Knightley Kevin Costner Nonso Anozie Gemma Chan,Action Drama Thriller,Action Drama Thriller Chris Pine Keira Knightley Kevin Costner Nonso Anozie Gemma Chan
non-stop,Liam Neeson Julianne Moore Scoot McNairy Michelle Dockery Nate Parker,Action Thriller Mystery,Action Thriller Mystery Liam Neeson Julianne Moore Scoot McNairy Michelle Dockery Nate Parker
predestination,Ethan Hawke Sarah Snook Noah Taylor Christopher Kirby Madeleine West,Science Fiction Thriller,Science Fiction Thriller Ethan Hawke Sarah Snook Noah Taylor Christopher Kirby Madeleine West
autã³mata,Antonio Banderas Birgitte Hjort SÃ¸rensen Dylan McDermott Robert Forster Tim McInnerny,Thriller Science Fiction,Thriller Science Fiction Antonio Banderas Birgitte Hjort SÃ¸rensen Dylan McDermott Robert Forster Tim McInnerny
mythica: a quest for heroes,Kevin Sorbo Melanie Stone Nicola Posener Adam Johnson Jake Stormoen,Action Adventure Fantasy,Action Adventure Fantasy Kevin Sorbo Melanie Stone Nicola Posener Adam Johnson Jake Stormoen
the drop,Tom Hardy Noomi Rapace James Gandolfini Matthias Schoenaerts John Ortiz,Drama Crime,Drama Crime Tom Hardy Noomi Rapace James Gandolfini Matthias Schoenaerts John Ortiz
robocop,Joel Kinnaman Gary Oldman Michael Keaton Abbie Cornish Jackie Earle Haley,Science Fiction Action,Science Fiction Action Joel Kinnaman Gary Oldman Michael Keaton Abbie Cornish Jackie Earle Haley
transcendence,Johnny Depp Paul Bettany Rebecca Hall Kate Mara Morgan Freeman,Thriller Science Fiction Drama Mystery,Thriller Science Fiction Drama Mystery Johnny Depp Paul Bettany Rebecca Hall Kate Mara Morgan Freeman
the other woman,Cameron Diaz Leslie Mann Kate Upton Don Johnson Nikolaj Coster-Waldau,Comedy Romance,Comedy Romance Cameron Diaz Leslie Mann Kate Upton Don Johnson Nikolaj Coster-Waldau
mr. peabody & sherman,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Animation Adventure Family,Animation Adventure Family Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper
a merry friggin' christmas,Robin Williams Lauren Graham Wendi McLendon-Covey Joel McHale Jeffrey Tambor,Comedy,Comedy Robin Williams Lauren Graham Wendi McLendon-Covey Joel McHale Jeffrey Tambor
sin city: a dame to kill for,Mickey Rourke Jessica Alba Josh Brolin Joseph Gordon-Levitt Rosario Dawson,Crime Thriller,Crime Thriller Mickey Rourke Jessica Alba Josh Brolin Joseph Gordon-Levitt Rosario Dawson
tinker bell and the legend of the neverbeast,Ginnifer Goodwin Mae Whitman Rosario Dawson Lucy Liu Raven-SymonÃ©,Adventure Animation Family,Adventure Animation Family Ginnifer Goodwin Mae Whitman Rosario Dawson Lucy Liu Raven-SymonÃ©
rio 2,Jesse Eisenberg Anne Hathaway Leslie Mann Jamie Foxx Andy GarcÃ­a,Animation Adventure Comedy Family,Animation Adventure Comedy Family Jesse Eisenberg Anne Hathaway Leslie Mann Jamie Foxx Andy GarcÃ­a
dumb and dumber to,Jim Carrey Jeff Daniels Rachel Melvin Kathleen Turner Brady Bluhm,Comedy,Comedy Jim Carrey Jeff Daniels Rachel Melvin Kathleen Turner Brady Bluhm
before i go to sleep,Nicole Kidman Colin Firth Mark Strong Anne-Marie Duff Jing Lusi,Mystery Thriller,Mystery Thriller Nicole Kidman Colin Firth Mark Strong Anne-Marie Duff Jing Lusi
the monuments men,Matt Damon Cate Blanchett George Clooney Bill Murray John Goodman,War Drama History Action,War Drama History Action Matt Damon Cate Blanchett George Clooney Bill Murray John Goodman
unbroken,Jack O'Connell Domhnall Gleeson Garrett Hedlund Takamasa Ishihara Finn Wittrock,Drama War,Drama War Jack O'Connell Domhnall Gleeson Garrett Hedlund Takamasa Ishihara Finn Wittrock
selma,David Oyelowo Tom Wilkinson Carmen Ejogo AndrÃ© Holland Omar J. Dorsey,History Drama,History Drama David Oyelowo Tom Wilkinson Carmen Ejogo AndrÃ© Holland Omar J. Dorsey
mommy,Anne Dorval Suzanne ClÃ©ment Antoine-Olivier Pilon Patrick Huard Alexandre Goyette,Drama,Drama Anne Dorval Suzanne ClÃ©ment Antoine-Olivier Pilon Patrick Huard Alexandre Goyette
escobar: paradise lost,Benicio del Toro Josh Hutcherson Brady Corbet Claudia Traisac Carlos Bardem,Thriller Romance,Thriller Romance Benicio del Toro Josh Hutcherson Brady Corbet Claudia Traisac Carlos Bardem
tinker bell and the pirate fairy,Mae Whitman Christina Hendricks Tom Hiddleston Lucy Liu Raven-SymonÃ©,Animation Family,Animation Family Mae Whitman Christina Hendricks Tom Hiddleston Lucy Liu Raven-SymonÃ©
wild,Reese Witherspoon Laura Dern Thomas Sadoski Keene McRae Michiel Huisman,Drama,Drama Reese Witherspoon Laura Dern Thomas Sadoski Keene McRae Michiel Huisman
pompeii,Kit Harington Carrie-Anne Moss Emily Browning Adewale Akinnuoye-Agbaje Jessica Lucas,Action Adventure History Romance Drama,Action Adventure History Romance Drama Kit Harington Carrie-Anne Moss Emily Browning Adewale Akinnuoye-Agbaje Jessica Lucas
the best of me,Michelle Monaghan James Marsden Liana Liberato Luke Bracey Gerald McRaney,Drama Romance,Drama Romance Michelle Monaghan James Marsden Liana Liberato Luke Bracey Gerald McRaney
annie,QuvenzhanÃ© Wallis Jamie Foxx Rose Byrne Cameron Diaz Bobby Cannavale,Music Comedy Drama Family,Music Comedy Drama Family QuvenzhanÃ© Wallis Jamie Foxx Rose Byrne Cameron Diaz Bobby Cannavale
stonehearst asylum,Kate Beckinsale Jim Sturgess Ben Kingsley Michael Caine Brendan Gleeson,Horror Thriller,Horror Thriller Kate Beckinsale Jim Sturgess Ben Kingsley Michael Caine Brendan Gleeson
the book of life,Diego Luna Channing Tatum Zoe Saldana Christina Applegate Eugenio Derbez,Romance Animation Adventure Comedy Family,Romance Animation Adventure Comedy Family Diego Luna Channing Tatum Zoe Saldana Christina Applegate Eugenio Derbez
st. vincent,Bill Murray Melissa McCarthy Naomi Watts Chris O'Dowd Terrence Howard,Comedy,Comedy Bill Murray Melissa McCarthy Naomi Watts Chris O'Dowd Terrence Howard
need for speed,Aaron Paul Dominic Cooper Imogen Poots Rami Malek RamÃ³n RodrÃ­guez,Action Crime Drama Thriller,Action Crime Drama Thriller Aaron Paul Dominic Cooper Imogen Poots Rami Malek RamÃ³n RodrÃ­guez
two night stand,Analeigh Tipton Miles Teller Jessica Szohr Leven Rambin Scott Mescudi,Romance Comedy,Romance Comedy Analeigh Tipton Miles Teller Jessica Szohr Leven Rambin Scott Mescudi
good people,James Franco Kate Hudson Anna Friel Omar Sy Tom Wilkinson,Thriller Crime Action,Thriller Crime Action James Franco Kate Hudson Anna Friel Omar Sy Tom Wilkinson
the hundred-foot journey,Helen Mirren Manish Dayal Om Puri Charlotte Le Bon Rohan Chand,Drama,Drama Helen Mirren Manish Dayal Om Puri Charlotte Le Bon Rohan Chand
the boxtrolls,Ben Kingsley Isaac Hempstead Wright Elle Fanning Dee Bradley Baker Steve Blum,Animation Comedy Family Fantasy,Animation Comedy Family Fantasy Ben Kingsley Isaac Hempstead Wright Elle Fanning Dee Bradley Baker Steve Blum
big eyes,Amy Adams Christoph Waltz Krysten Ritter Danny Huston Jason Schwartzman,Drama,Drama Amy Adams Christoph Waltz Krysten Ritter Danny Huston Jason Schwartzman
the prince,Bruce Willis Jason Patric John Cusack Jessica Lowndes Gia Mantegna,Thriller Action,Thriller Action Bruce Willis Jason Patric John Cusack Jessica Lowndes Gia Mantegna
black sea,Jude Law Karl Davies Jodie Whittaker Daniel Ryan Scoot McNairy,Adventure,Adventure Jude Law Karl Davies Jodie Whittaker Daniel Ryan Scoot McNairy
song of the sea,Brendan Gleeson Fionnula Flanagan David Rawle Pat Shortt Jon Kenny,Family Animation Fantasy,Family Animation Fantasy Brendan Gleeson Fionnula Flanagan David Rawle Pat Shortt Jon Kenny
marvel one-shot: all hail the king,Ben Kingsley Scoot McNairy Lester Speight Sam Rockwell Matt Gerald,Comedy Action Drama Thriller Fantasy,Comedy Action Drama Thriller Fantasy Ben Kingsley Scoot McNairy Lester Speight Sam Rockwell Matt Gerald
the signal,Brenton Thwaites Laurence Fishburne Olivia Cooke Lin Shaye Beau Knapp,Thriller Science Fiction,Thriller Science Fiction Brenton Thwaites Laurence Fishburne Olivia Cooke Lin Shaye Beau Knapp
white bird in a blizzard,Shailene Woodley Eva Green Christopher Meloni Shiloh Fernandez Gabourey Sidibe,Thriller Drama,Thriller Drama Shailene Woodley Eva Green Christopher Meloni Shiloh Fernandez Gabourey Sidibe
into the storm,Richard Armitage Sarah Wayne Callies Matt Walsh Nathan Kress Alycia Debnam-Carey,Action Thriller,Action Thriller Richard Armitage Sarah Wayne Callies Matt Walsh Nathan Kress Alycia Debnam-Carey
outcast,Hayden Christensen Nicolas Cage Liu Yifei Summer Jike Andy On,Action,Action Hayden Christensen Nicolas Cage Liu Yifei Summer Jike Andy On
3 days to kill,Kevin Costner Amber Heard Hailee Steinfeld Connie Nielsen TÃ³mas Lemarquis,Action Drama Thriller Crime,Action Drama Thriller Crime Kevin Costner Amber Heard Hailee Steinfeld Connie Nielsen TÃ³mas Lemarquis
planes: fire & rescue,Dane Cook Ed Harris Julie Bowen Curtis Armstrong John Michael Higgins,Animation Comedy Adventure Family,Animation Comedy Adventure Family Dane Cook Ed Harris Julie Bowen Curtis Armstrong John Michael Higgins
'71,Jack O'Connell Paul Anderson Sean Harris Sam Reid Sam Hazeldine,Thriller Action Drama War,Thriller Action Drama War Jack O'Connell Paul Anderson Sean Harris Sam Reid Sam Hazeldine
sabotage,Arnold Schwarzenegger Sam Worthington Mireille Enos Joe Manganiello Harold Perrineau,Action Drama Thriller Crime,Action Drama Thriller Crime Arnold Schwarzenegger Sam Worthington Mireille Enos Joe Manganiello Harold Perrineau
a million ways to die in the west,Seth MacFarlane Charlize Theron Liam Neeson Amanda Seyfried Neil Patrick Harris,Comedy Western,Comedy Western Seth MacFarlane Charlize Theron Liam Neeson Amanda Seyfried Neil Patrick Harris
the forger,John Travolta Christopher Plummer Tye Sheridan Abigail Spencer Marcus Thomas,Thriller Crime Drama,Thriller Crime Drama John Travolta Christopher Plummer Tye Sheridan Abigail Spencer Marcus Thomas
frank,Michael Fassbender Maggie Gyllenhaal Domhnall Gleeson Scoot McNairy Hayley Derryberry,Comedy Drama Mystery,Comedy Drama Mystery Michael Fassbender Maggie Gyllenhaal Domhnall Gleeson Scoot McNairy Hayley Derryberry
camp x-ray,Kristen Stewart Peyman Moaadi Lane Garrison Joseph Julian Soria John Carroll Lynch,Drama,Drama Kristen Stewart Peyman Moaadi Lane Garrison Joseph Julian Soria John Carroll Lynch
no good deed,Idris Elba Taraji P. Henson Leslie Bibb Kate del Castillo Henry Simmons,Thriller,Thriller Idris Elba Taraji P. Henson Leslie Bibb Kate del Castillo Henry Simmons
still alice,Julianne Moore Alec Baldwin Kristen Stewart Kate Bosworth Shane McRae,Drama,Drama Julianne Moore Alec Baldwin Kristen Stewart Kate Bosworth Shane McRae
"as above, so below",Perdita Weeks Ben Feldman Edwin Hodge FranÃ§ois Civil Marion Lambert,Horror Thriller,Horror Thriller Perdita Weeks Ben Feldman Edwin Hodge FranÃ§ois Civil Marion Lambert
foxcatcher,Steve Carell Channing Tatum Mark Ruffalo Sienna Miller Vanessa Redgrave,Drama Thriller,Drama Thriller Steve Carell Channing Tatum Mark Ruffalo Sienna Miller Vanessa Redgrave
playing it cool,Chris Evans Michelle Monaghan Aubrey Plaza Ioan Gruffudd Martin Starr,Comedy Romance,Comedy Romance Chris Evans Michelle Monaghan Aubrey Plaza Ioan Gruffudd Martin Starr
endless love,Alex Pettyfer Gabriella Wilde Robert Patrick Rhys Wakefield Emma Rigby,Drama Romance,Drama Romance Alex Pettyfer Gabriella Wilde Robert Patrick Rhys Wakefield Emma Rigby
the rover,Guy Pearce Robert Pattinson Scoot McNairy Nash Edgerton Anthony Hayes,Crime Drama,Crime Drama Guy Pearce Robert Pattinson Scoot McNairy Nash Edgerton Anthony Hayes
think like a man too,Kevin Hart Regina Hall Michael Ealy Jerry Ferrara Taraji P. Henson,Comedy Romance,Comedy Romance Kevin Hart Regina Hall Michael Ealy Jerry Ferrara Taraji P. Henson
suite franã§aise,Michelle Williams Kristin Scott Thomas Matthias Schoenaerts Sam Riley Ruth Wilson,Drama Romance War,Drama Romance War Michelle Williams Kristin Scott Thomas Matthias Schoenaerts Sam Riley Ruth Wilson
the two faces of january,Viggo Mortensen Kirsten Dunst Oscar Isaac Prometheus Aleifer Nikos Mavrakis,Thriller,Thriller Viggo Mortensen Kirsten Dunst Oscar Isaac Prometheus Aleifer Nikos Mavrakis
walk of shame,Elizabeth Banks James Marsden Gillian Jacobs Ethan Suplee Sarah Wright,Comedy,Comedy Elizabeth Banks James Marsden Gillian Jacobs Ethan Suplee Sarah Wright
enemy,Jake Gyllenhaal MÃ©lanie Laurent Sarah Gadon Isabella Rossellini Joshua Peace,Thriller Mystery,Thriller Mystery Jake Gyllenhaal MÃ©lanie Laurent Sarah Gadon Isabella Rossellini Joshua Peace
annabelle,Annabelle Wallis Alfre Woodard Eric Ladin Tony Amendola Gabriel Bateman,Horror,Horror Annabelle Wallis Alfre Woodard Eric Ladin Tony Amendola Gabriel Bateman
echoes,Steven Brand Kevin Brewerton Ivory Dortch Kate French,Drama Horror Thriller,Drama Horror Thriller Steven Brand Kevin Brewerton Ivory Dortch Kate French
maya the bee movie,Jenifer Bartoli Christophe MaÃ© Coco Jack Gillies Kodi Smit-McPhee Richard Roxburgh,Family Animation,Family Animation Jenifer Bartoli Christophe MaÃ© Coco Jack Gillies Kodi Smit-McPhee Richard Roxburgh
"i, frankenstein",Aaron Eckhart Yvonne Strahovski Bill Nighy Jai Courtney Miranda Otto,Horror Thriller,Horror Thriller Aaron Eckhart Yvonne Strahovski Bill Nighy Jai Courtney Miranda Otto
that awkward moment,Zac Efron Miles Teller Michael B. Jordan Imogen Poots Mackenzie Davis,Comedy Romance,Comedy Romance Zac Efron Miles Teller Michael B. Jordan Imogen Poots Mackenzie Davis
palo alto,Emma Roberts Jack Kilmer Nat Wolff James Franco Zoe Levin,Drama,Drama Emma Roberts Jack Kilmer Nat Wolff James Franco Zoe Levin
draft day,Kevin Costner Jennifer Garner Tom Welling Sam Elliott Terry Crews,Drama,Drama Kevin Costner Jennifer Garner Tom Welling Sam Elliott Terry Crews
brick mansions,Paul Walker David Belle RZA Robert Maillet Carlo Rota,Action Crime Drama,Action Crime Drama Paul Walker David Belle RZA Robert Maillet Carlo Rota
the babadook,Essie Davis Noah Wiseman Daniel Henshall Hayley McElhinney Cathy Adamek,Drama Thriller Horror,Drama Thriller Horror Essie Davis Noah Wiseman Daniel Henshall Hayley McElhinney Cathy Adamek
tammy,Melissa McCarthy Susan Sarandon Kathy Bates Allison Janney Dan Aykroyd,Comedy,Comedy Melissa McCarthy Susan Sarandon Kathy Bates Allison Janney Dan Aykroyd
boychoir,Dustin Hoffman Kevin McHale Josh Lucas Debra Winger Kathy Bates,Drama,Drama Dustin Hoffman Kevin McHale Josh Lucas Debra Winger Kathy Bates
serena,Jennifer Lawrence Bradley Cooper Rhys Ifans Toby Jones Blake Ritson,Drama,Drama Jennifer Lawrence Bradley Cooper Rhys Ifans Toby Jones Blake Ritson
testament of youth,Alicia Vikander Kit Harington Taron Egerton Colin Morgan Dominic West,History Drama War,History Drama War Alicia Vikander Kit Harington Taron Egerton Colin Morgan Dominic West
american heist,Hayden Christensen Adrien Brody Jordana Brewster Akon Laura Cayouette,Action,Action Hayden Christensen Adrien Brody Jordana Brewster Akon Laura Cayouette
bullet,Danny Trejo Seri DeYoung Torsten Voges Jonathan Banks Kyle Villalovos,Action Crime Thriller,Action Crime Thriller Danny Trejo Seri DeYoung Torsten Voges Jonathan Banks Kyle Villalovos
the skeleton twins,Kristen Wiig Bill Hader Luke Wilson Ty Burrell Boyd Holbrook,Drama,Drama Kristen Wiig Bill Hader Luke Wilson Ty Burrell Boyd Holbrook
salting the battlefield,Bill Nighy Helena Bonham Carter Ralph Fiennes Ewen Bremner Judy Davis,Mystery Drama Action Crime,Mystery Drama Action Crime Bill Nighy Helena Bonham Carter Ralph Fiennes Ewen Bremner Judy Davis
the calling,Susan Sarandon Gil Bellows Ellen Burstyn Topher Grace Donald Sutherland,Thriller,Thriller Susan Sarandon Gil Bellows Ellen Burstyn Topher Grace Donald Sutherland
winter's tale,Colin Farrell Jessica Brown Findlay Russell Crowe William Hurt Jennifer Connelly,Drama Fantasy Mystery Romance,Drama Fantasy Mystery Romance Colin Farrell Jessica Brown Findlay Russell Crowe William Hurt Jennifer Connelly
pride,Ben Schnetzer Bill Nighy Imelda Staunton Dominic West Paddy Considine,Drama Comedy,Drama Comedy Ben Schnetzer Bill Nighy Imelda Staunton Dominic West Paddy Considine
laggies,Keira Knightley ChloÃ« Grace Moretz Sam Rockwell Kaitlyn Dever Ellie Kemper,Romance Comedy,Romance Comedy Keira Knightley ChloÃ« Grace Moretz Sam Rockwell Kaitlyn Dever Ellie Kemper
the guest,Dan Stevens Maika Monroe Sheila Kelley Ethan Embry Joel David Moore,Mystery Thriller Action,Mystery Thriller Action Dan Stevens Maika Monroe Sheila Kelley Ethan Embry Joel David Moore
frontera,Ed Harris Eva Longoria Michael PeÃ±a Amy Madigan Kristen Rakes,Western Drama,Western Drama Ed Harris Eva Longoria Michael PeÃ±a Amy Madigan Kristen Rakes
the cobbler,Adam Sandler Dan Stevens Steve Buscemi Dustin Hoffman Ellen Barkin,Fantasy Comedy Drama,Fantasy Comedy Drama Adam Sandler Dan Stevens Steve Buscemi Dustin Hoffman Ellen Barkin
blue ruin,Macon Blair Devin Ratray Amy Hargreaves Kevin Kolack Eve Plumb,Crime Thriller,Crime Thriller Macon Blair Devin Ratray Amy Hargreaves Kevin Kolack Eve Plumb
how to make love like an englishman,Jessica Alba Pierce Brosnan Malcolm McDowell Salma Hayek Ben McKenzie,Comedy,Comedy Jessica Alba Pierce Brosnan Malcolm McDowell Salma Hayek Ben McKenzie
the water diviner,Russell Crowe Olga Kurylenko Jai Courtney Isabel Lucas Damon Herriman,War Drama,War Drama Russell Crowe Olga Kurylenko Jai Courtney Isabel Lucas Damon Herriman
the green inferno,Lorenza Izzo Ariel Levy Sky Ferreira Nicolas Martinez Kirby Bliss Blanton,Horror Thriller,Horror Thriller Lorenza Izzo Ariel Levy Sky Ferreira Nicolas Martinez Kirby Bliss Blanton
magic in the moonlight,Colin Firth Emma Stone Hamish Linklater Marcia Gay Harden Jacki Weaver,Comedy Drama Romance,Comedy Drama Romance Colin Firth Emma Stone Hamish Linklater Marcia Gay Harden Jacki Weaver
kite,Samuel L. Jackson Callan McAuliffe India Eisley Carl Beukes Jaco Muller,Drama Action,Drama Action Samuel L. Jackson Callan McAuliffe India Eisley Carl Beukes Jaco Muller
